"","x"
"1",21
"2",12
"3",2
"4",3
"5",7
"6",6
"7",2
"8",5
"9",7
"10",3
"11",4
"12",0
"13",7
"14",7
"15",2
"16",2
"17",24
"18",4
"19",1
"20",1
"21",2
"22",4
"23",0
"24",2
"25",1
"26",0
"27",4
"28",1
"29",2
"30",5
"31",3
"32",1
"33",3
"34",1
"35",0
"36",4
"37",2
"38",3
"39",3
"40",5
"41",1
"42",1
"43",3
"44",2
"45",1
"46",2
"47",1
"48",5
"49",9
"50",2
"51",1
"52",11
"53",7
"54",2
"55",10
"56",5
"57",3
"58",3
"59",21
"60",8
"61",6
"62",2
"63",6
"64",10
"65",1
"66",4
"67",16
"68",8
"69",2
"70",5
"71",8
"72",4
"73",7
"74",17
"75",6
"76",10
"77",9
"78",8
"79",23
"80",11
"81",17
"82",1
"83",5
"84",6
"85",4
"86",6
"87",7
"88",4
"89",5
"90",4
"91",2
"92",5
"93",6
"94",3
"95",14
"96",3
"97",11
"98",3
"99",3
"100",21
"101",1
"102",10
"103",4
"104",5
"105",4
"106",4
"107",24
"108",5
"109",10
"110",24
"111",6
"112",2
"113",3
"114",4
"115",11
"116",0
"117",5
"118",6
"119",5
"120",3
"121",5
"122",3
"123",3
"124",3
"125",6
"126",2
"127",2
"128",4
"129",2
"130",1
"131",21
"132",7
"133",2
"134",5
"135",8
"136",9
"137",25
"138",2
"139",6
"140",3
"141",3
"142",20
"143",1
"144",10
"145",5
"146",5
"147",6
"148",15
"149",4
"150",6
"151",7
"152",4
"153",12
"154",2
"155",6
"156",8
"157",2
"158",10
"159",7
"160",1
"161",15
"162",6
"163",4
"164",8
"165",2
"166",5
"167",5
"168",4
"169",3
"170",7
"171",20
"172",13
"173",17
"174",5
"175",8
"176",13
"177",3
"178",4
"179",7
"180",4
"181",11
"182",4
"183",5
"184",5
"185",5
"186",20
"187",4
"188",6
"189",2
"190",7
"191",9
"192",5
"193",2
"194",10
"195",7
"196",11
"197",7
"198",5
"199",4
"200",8
"201",2
"202",1
"203",3
"204",13
"205",4
"206",5
"207",8
"208",14
"209",2
"210",18
"211",5
"212",2
"213",15
"214",4
"215",2
"216",5
"217",2
"218",20
"219",34
"220",3
"221",2
"222",2
"223",4
"224",30
"225",1
"226",4
"227",20
"228",1
"229",11
"230",19
"231",11
"232",2
"233",12
"234",1
"235",5
"236",7
"237",5
"238",6
"239",19
"240",2
"241",3
"242",9
"243",4
"244",4
"245",13
"246",0
"247",2
"248",0
"249",4
"250",9
"251",7
"252",24
"253",7
"254",8
"255",3
"256",3
"257",4
"258",5
"259",3
"260",3
"261",3
"262",11
"263",9
"264",3
"265",14
"266",14
"267",8
"268",4
"269",18
"270",19
"271",10
"272",2
"273",20
"274",4
"275",4
"276",2
"277",12
"278",2
"279",1
"280",27
"281",1
"282",22
"283",8
"284",9
"285",13
"286",8
"287",11
"288",11
"289",13
"290",7
"291",12
"292",5
"293",5
"294",10
"295",1
"296",13
"297",12
"298",8
"299",11
"300",4
"301",10
"302",3
"303",6
"304",8
"305",4
"306",2
"307",1
"308",17
"309",5
"310",5
"311",6
"312",12
"313",12
"314",4
"315",15
"316",3
"317",9
"318",6
"319",24
"320",3
"321",5
"322",8
"323",3
"324",9
"325",9
"326",5
"327",11
"328",1
"329",4
"330",3
"331",2
"332",20
"333",7
"334",16
"335",16
"336",10
"337",6
"338",3
"339",4
"340",7
"341",4
"342",7
"343",14
"344",4
"345",4
"346",13
"347",2
"348",5
"349",8
"350",2
"351",6
"352",23
"353",9
"354",3
"355",7
"356",2
"357",20
"358",9
"359",10
"360",13
"361",5
"362",5
"363",3
"364",21
"365",1
"366",5
"367",19
"368",27
"369",6
"370",3
"371",2
"372",2
"373",15
"374",23
"375",3
"376",5
"377",0
"378",5
"379",25
"380",17
"381",2
"382",5
"383",1
"384",3
"385",2
"386",4
"387",0
"388",5
"389",4
"390",4
"391",13
"392",3
"393",2
"394",18
"395",7
"396",2
"397",3
"398",4
"399",4
"400",3
"401",8
"402",3
"403",7
"404",3
"405",1
"406",18
"407",10
"408",1
"409",2
"410",4
"411",5
"412",4
"413",8
"414",13
"415",14
"416",18
"417",9
"418",0
