"","rnid","HH1","HH23r1","HH23r2","HH23r3","HHCr1","HHCr2","HHCr3","HHAr1","HHAr2","HHAr3","HH4","HH5","HH6r1","HH6r2","HH6r3","HH6r4","HH6r5","HH6r6","HH6r6oe","HHR","Q2","hRegionUS","HH7","HH7r3oe","HHO","HH8","HH8r8oe","HH9","HH10","HH10_1","HH11","HH12r1","noanswerHH12_r8","HH12a","HH13r1","noanswerHH13_r8","HH13a","HHI","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1ar1","ESC1ar2","ESC1ar3","ESC1ar4","ESC1ar5","wbill","sbill","ESC2","EB2a","EB2b","EB4","EB5r1","EB6r1","EB7a","EB7b","EB7d","EB8a","EB8b","EB8d","HEC1r1a","HEC1r1b","HEC1r1c","HEC1r1d","HEC2r1","HEC2r2","HEC2r3","HEC2r4","HEC2r5","HEC2r6","HEC2r7","HEC2r8","HEC2r9","HEC2r10","HEC3r3a","HEC3r3b","HEC3r3c","HEC3r3d","HEC3r3e","HEC3r3f","HEC3r3g","HEC3r3h","HEC4a","HEC4b","HEC5","HEC5a","HEC6","HEC6a","CEP1","CEP2","CEP3","CEP4","CEP5","CEP6","CEP7","CEP8r1","CEP8r2","CEP8r3","CEP8r4"
"1","EPOVL5YYVTDCBPK4N0",2,0,0,2,0,1,0,1,0,0,43,2,0,0,0,1,0,0,"",3,5,4,1,"",2,4,"",3,2013,NA,4,200,0,NA,120000,0,NA,3,1,0,1,0,1,0,1,1,0,1,0,1,1,NA,0,1,1,1,NA,1,1,NA,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0
"2","EPOVL5Z634YW9484N5",2,0,2,0,0,1,0,0,1,0,41,2,0,0,0,1,0,0,"",3,33,1,2,"",1,7,"",1,2013,NA,2,730,0,NA,10000,0,NA,1,1,1,0,0,0,0,0,0,1,1,1,0,NA,NA,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"3","EPOVL5ZSJ3HSNFC4N5",2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,"",3,5,4,1,"",2,2,"",4,1978,NA,2,4400,0,NA,125000,0,NA,3,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"4","EPOVL5YYNLZ2LBN4N8",2,0,2,0,0,1,0,0,1,0,65,2,1,0,0,0,0,0,"",3,14,2,1,"",2,2,"",4,1993,NA,2,NA,1,1,107000,0,NA,3,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,1,1,1,0,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5","EPOVL5Z67ZD4BY84N1",2,0,0,1,0,1,0,1,0,1,64,2,1,0,0,0,0,0,"",3,19,3,1,"",2,2,"",4,2012,NA,4,1500,0,NA,160000,0,NA,3,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","EPOVL65CC59WVCQ4N8",3,2,1,0,1,0,1,0,1,0,33,2,1,0,0,0,0,0,"",3,13,4,2,"",1,5,"",3,2008,NA,3,940,0,NA,36600,0,NA,2,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"7","EPOVL5ZDMLST6R34N9",1,0,0,1,0,1,0,1,0,0,70,1,0,0,0,1,0,0,"",1,10,3,1,"",2,1,"",2,1988,NA,2,860,0,NA,56000,0,NA,3,1,0,0,0,1,0,0,0,0,1,1,0,0,NA,1,0,1,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"8","EPOVL5ZRTQTCM274N8",2,0,0,2,0,1,0,1,0,0,78,2,1,0,0,0,0,0,"",3,5,4,1,"",2,2,"",4,1975,NA,2,NA,1,4,149000,0,NA,3,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9","EPOVL66LVM2RNZH4N1",1,0,0,1,0,1,0,1,0,0,76,2,1,0,0,0,0,0,"",3,31,1,2,"",1,7,"",1,2013,NA,4,300,0,NA,20000,0,NA,1,1,0,0,0,1,0,0,0,0,1,1,0,1,NA,0,1,1,0,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"10","EPOVL5ZG4B5ZB5X4N2",1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,"",3,5,4,1,"",2,1,"",2,2012,NA,2,1500,0,NA,64500,0,NA,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
