rasch_score,sum_score,HH1,HH23r1.x,HH23r2,HH23r3.x,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HHR,Q2,hRegionUS,HH7,HHO,HH8,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI.x,Gender,Age,Number in household,Children,Education,Household Income,Employment Status,Home Ownership,Region,Race,Hispanic Origin
1.756259837,21,2,0,0,2,0,1,0,1,0,0,81,2,1,0,0,0,0,0,3,3,4,1,2,2,4,1995,NA,3,250,0,NA,149000,0,NA,3,Male,81,2,None,Bachelor's Degree,"100,000 to 149,999",Retired,Own,Region 4: West,Caucasian / White,No
0.801368055,12,2,0,0,2,0,1,0,1,0,0,69,2,1,0,0,0,0,0,3,22,1,1,2,2,3,2001,NA,3,450,0,NA,36000,0,NA,2,Male,72,2,None,Vocational or Technical Degree,"25,000 to 49,999",Retired,Own,Region 1: Northeast,Caucasian / White,No
-0.825116057,2,2,0,2,0,0,1,0,0,1,0,65,2,1,0,0,0,0,0,3,14,2,1,2,2,4,1993,NA,2,NA,1,1,107000,0,NA,3,Male,65,2,None,Master's Degree,"100,000 to 149,999",Retired,Own,Region 2: Midwest,Caucasian / White,No
-0.64090161,3,2,0,0,2,0,1,0,1,0,0,43,2,0,0,0,1,0,0,3,5,4,1,2,4,3,2013,NA,4,200,0,NA,120000,0,NA,3,Male,43,2,None,Bachelor's Degree,"75,000 to 99,999",Full-time (30 or more hours per week),Own,Region 4: West,Asian / Asian American,No
0.041887645,7,2,0,2,0,0,1,0,0,1,0,57,1,1,0,0,0,0,0,1,50,2,1,2,2,3,2004,NA,2,2200,0,NA,170000,0,NA,3,Female,37,2,None,Master's Degree,"150,000 to 199,999",Full-time (30 or more hours per week),Own,Region 2: Midwest,Caucasian / White,Yes
-0.462501041,6,2,0,0,0,0,1,0,0,0,1,56,2,1,0,0,0,0,0,3,10,3,1,2,2,3,2018,1,4,NA,1,6,135000,0,NA,3,Male,56,2,None,Bachelor's Degree,"100,000 to 149,999",Full-time (30 or more hours per week),Own,Region 3: South,Caucasian / White,No
-0.64090161,2,2,0,0,1,0,1,0,1,0,1,64,2,1,0,0,0,0,0,3,19,3,1,2,2,4,2012,NA,4,1500,0,NA,160000,0,NA,3,Male,64,2,None,Bachelor's Degree,"150,000 to 199,999",Full-time (30 or more hours per week),Own,Region 3: South,Caucasian / White,No
-0.462501041,5,1,0,0,1,0,1,0,1,0,0,70,1,0,0,0,1,0,0,1,10,3,1,2,1,2,1988,NA,2,860,0,NA,56000,0,NA,3,Male,71,2,None,Bachelor's Degree,"25,000 to 49,999",Retired,Own,Region 3: South,Caucasian / White,Yes
-0.121493301,7,1,0,0,1,0,1,0,1,0,0,85,2,1,0,0,0,0,0,3,5,4,2,1,6,1,1996,NA,2,2310,0,NA,67000,0,NA,3,Male,85,1,None,Bachelor's Degree,"50,000 to 74,999",Retired,Rent,Region 4: West,NA,No
-0.825116057,3,1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,3,5,4,1,2,1,2,2012,NA,2,1500,0,NA,64500,0,NA,3,Male,68,1,None,"Some College, University, Technical School or Further Education","50,000 to 74,999",Retired,Own,Region 4: West,Caucasian / White,No
