record,uuid,status,dTrack,qtime,rnid,consent,HH1,HH23r1,HH23r2,HH23r3,HHCr1,HHCr2,HHCr3,HHAr1,HHAr2,HHAr3,HH4,HH5,HH6r1,HH6r2,HH6r3,HH6r4,HH6r5,HH6r6,HH6r6oe,HHR,Q2,hRegionUS,HH7,HH7r3oe,HHO,HH8,HH8r8oe,HH9,HH10,HH10_1,HH11,HH12r1,noanswerHH12_r8,HH12a,HH13r1,noanswerHH13_r8,HH13a,HHI,ESC1r1,ESC1r2,ESC1r3,ESC1r4,ESC1r5,ESC1ar1,ESC1ar2,ESC1ar3,ESC1ar4,ESC1ar5,ESC1ar6,ESC1br1c1,ESC1br2c1,ESC1br3c1,ESC1br4c1,ESC1b_1r1c2,ESC1b_1r2c2,ESC1b_1r3c2,ESC1b_1r4c2,ESC1b1r1,ESC1b1r2,ESC1b1r3,ESC1b1r4,ESC1cr1c1,ESC1cr2c1,ESC1cr3c1,ESC1cr4c1,ESC1c_1r1c2,ESC1c_1r2c2,ESC1c_1r3c2,ESC1c_1r4c2,ESC1c1r1,ESC1c1r2,ESC1c1r3,ESC1c1r4,ESC2,ESC2a,ESC2b,ESC2c,EB2a,EB2a1,EB3a,EB3a1,EB2b,EB2b1,EB3b,EB3b1,EB2c,EB2c1,EB3c,EB3c1,EB2d,EB2d1,EB3d,EB3d1,EB2e,EB2e1,EB3e,EB3e1,EB4,Q4ar1,Q4ar2,Q4ar3,Q4ar4,Q4ar5,Q4ar6,Q4ar6oe,EB5r1,EB5r2,EB5r3,EB5r4,EB6r1,EB6r2,EB6r3,EB6r4,EB7a,Q7a1,Q7a2,Q7a3,EB7b,Q7b1,Q7b2,Q7b3,EB7c,Q7c1,Q7c2,Q7c3,EB7d,Q7d1,Q7d2,Q7d3,EB8a,Q8a1,Q8a2,Q8b1,EB8b,Q8b2,EB8c,Q8c1,Q8c2,EB8d,Q8d1,Q8d2,HEC1r1a,HEC1r1b,HEC1r1c,HEC1r1d,HEC2r1,HEC2r2,HEC2r3,HEC2r4,HEC2r5,HEC2r6,HEC2r7,HEC2r8,HEC2r9,HEC2r10,HEC2r9oe,HEC3r3a,HEC3r3b,HEC3r3c,HEC3r3d,HEC3r3e,HEC3r3f,HEC3r3g,HEC3r3h,HEC4a,HEC4ai,HEC4aii,HEC4b,HEC4bi,HEC4bii,HEC5,HEC5a,HEC5a1,HEC5a2r1,HEC5a2r2,HEC5a2r3,HEC5a2r4,HEC5a2r5,HEC5a2r6,HEC5a2r7,HEC6,HEC6a,HEC6b1,HEC6b2r1,HEC6b2r2,HEC6b2r3,HEC6b2r4,HEC6b2r5,HEC6b2r6,EL1,hEL1r1,EL2,hEL2r1,EL3,CEP1,Q14a1,CEP2,Q14b1,CEP3,Q14c1,CEP4,Q14d1,CEP5,Q14e1,CEP6,CEP7,CEP8r1,CEP8r2,CEP8r3,CEP8r4,EH1a_er1a,EH1a_er2b,EH1a_er3c,EH1a_er4d,EH1a_er5e,EH2,EH2_1r1,EH2_1r2,EH2_1r3,EH2_1r3oe,H1r1,H1r2,H1r3,H1r4,H1r5,H1r6,H1r7,H1r7oe,H2r1,H2r2,H2r3,H2r4,H2r5,H2r6,H2r7,H2r8,H2r9,H2r10,H2r11,H2r12,H2r13,H2r14,H2r15,H2r16,noanswerH2_r17,PSSPSS1,PSSPSS2,PSSPSS3,PSSPSS4,PSSPSS5,PSSPSS6,PSSPSS7,PSSPSS8,PSSPSS9,PSSPSS10,SF1,SF2,SF3,PSQI1,PSQI2a,PSQI2b,FI1,FI2,FI3,FI4
8,kumy86mnke4npv8q,3,0,428.2313855,EPOVL5YYVTDCBPK4N0,1,2,0,0,2,0,1,0,1,0,0,43,2,0,0,0,1,0,0,,3,5,4,1,,2,4,,3,2013,,4,200,0,,120000,0,,3,1,0,1,0,0,1,0,1,1,0,0,100,,100,10,0,0,0,0,,,,,200,,200,20,0,0,0,0,,,,,1,200,2,1,1,2,1,2,,,,,1,2,1,2,1,2,1,3,1,2,1,3,2,0,2,0,4,0,0,,2,,3,2,2,,2,3,1,3,2,,,,,,1,3,3,,1,3,3,,1,3,,,,,1,3,,1,4,,3,2,2,3,0,0,1,0,0,1,0,0,0,0,,2,3,3,2,3,2,2,3,1,50,40,1,50,60,3,1,3,0,0,0,1,0,0,0,4,1,3,0,0,0,1,0,0,3,,2,,2,1,2,2,,1,2,1,2,1,2,2,1,0,0,1,0,3,2,3,4,4,1,1,0,0,,2,1,1,1,2,1,,,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,0,3,4,4,4,4,4,4,3,4,3,3,3,3,1,1,1,2,2,2,2
13,zcf3v21ppmfy5r4d,3,0,398.7037103,EPOVL5ZCVL56SG24N0,1,1,0,1,0,0,1,0,0,1,0,63,2,1,0,0,0,0,0,,3,33,1,1,,2,2,,3,2009,,5,,1,7,,1,3,3,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,5,5,,,,,,,1,1,0,0,5,5,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,4,4,,,4,4,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,65,62,1,60,60,8,2,,,,,,,,,8,2,,,,,,,,4,,3,,1,2,,2,,2,,2,,2,,2,2,1,0,1,0,3,3,3,3,3,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,3,3,2,0,0,0,2,3,3,3
10,ejqbjpeapbte06c3,3,0,611.7777593,EPOVL5Z634YW9484N5,1,2,0,2,0,0,1,0,0,1,0,41,2,0,0,0,1,0,0,,3,33,1,2,,1,7,,1,2013,,2,730,0,,10000,0,,1,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,3,,,3,3,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,2,2,2,2,2,2,2,2,2,,,1,80,70,2,1,2,0,0,1,0,0,0,0,5,2,,,,,,,,3,,3,,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,2,2,2,2,2,0,,,,,1,2,1,2,1,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,2,2,2,2
23,ux6tjf157e99rg7a,3,0,626.118681,EPOVL5ZSJ3HSNFC4N5,1,2,0,0,2,0,1,0,1,0,0,66,2,1,0,0,0,0,0,,3,5,4,1,,2,2,,4,1978,,2,4400,0,,125000,0,,3,1,1,0,0,0,1,1,0,0,0,0,120,30,,,0,0,0,0,,,,,120,32,,,0,0,0,0,,,,,1,250,1,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,2,2,2,,4,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,3,2,2,3,0,0,0,1,1,0,0,0,0,0,,3,2,3,3,2,2,2,3,1,70,50,2,,,5,1,2,0,1,0,0,0,0,0,4,1,4,0,0,0,0,0,1,2,1,4,,3,2,,2,,2,,2,,2,,2,2,0,0,0,1,3,3,1,1,1,0,,,,,2,2,2,2,2,1,,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,3,4,3,3,3,3,4,3,3,3,3,1,2,1,2,1,3,3,3
7,1kh7t51aspj90e6e,3,0,672.0765755,EPOVL5YYNLZ2LBN4N8,1,2,0,2,0,0,1,0,0,1,0,65,2,1,0,0,0,0,0,,3,14,2,1,,2,2,,4,1993,,2,,1,1,107000,0,,3,1,0,0,0,0,1,0,0,0,0,0,400,,,,0,0,0,0,,,,,250,,,,0,0,0,0,,,,,1,20,2,1,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,1,2,,,3,2,,,,,,,,,,,,2,,,,1,1,,,,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,2,3,3,3,3,3,3,3,1,68,68,1,68,68,4,2,,,,,,,,,4,2,,,,,,,,2,1,4,,2,2,,2,,2,,2,,2,,2,2,0,0,0,1,1,1,1,1,1,0,,,,,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,1,2,2,3,4,4,1,4,4,2,2,2,2,2,1,0,0,1,3,3,3
11,v96fbd5g6p8js2dm,3,0,667.9873326,EPOVL5Z67ZD4BY84N1,1,2,0,0,1,0,1,0,1,0,1,64,2,1,0,0,0,0,0,,3,19,3,1,,2,2,,4,2012,,4,1500,0,,160000,0,,3,1,1,0,0,0,1,1,0,0,0,0,120,120,,,0,0,0,0,,,,,375,40,,,0,0,0,0,,,,,1,40,3,1,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,4,2,2,,1,2,,,,2,,,,,,,,2,,,,1,1,,,2,,,,,2,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,70,65,1,77,78,5,2,,,,,,,,,3,2,,,,,,,,2,1,3,,3,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,2,None,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,1,4,2,5,5,1,4,5,3,1,2,1,1,0,0,0,5,3,3,3
31,eqgp0q0gs32m3rg6,3,0,604.9359663,EPOVL65CC59WVCQ4N8,1,3,2,1,0,1,0,1,0,1,0,33,2,1,0,0,0,0,0,,3,13,4,2,,1,5,,3,2008,,3,940,0,,36600,0,,2,1,1,0,0,0,1,1,0,0,0,0,50,50,,,0,0,0,0,,,,,120,20,,,0,0,0,0,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,2,2,,,2,2,,,2,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,4,1,4,4,0,0,0,0,0,0,0,0,0,1,,4,2,3,3,3,4,4,2,1,65,68,1,70,70,7,2,,,,,,,,,1,2,,,,,,,,4,,1,1,1,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,2,2,2,2,2,2,,,2,2,2,2,1,2,2,2,2,2,2,99,2,2,2,2,0,1,1,1,1,4,1,1,5,1,4,2,1,1,1,0,0,1,3,3,3
40,z2yzdbpfgps107yy,3,0,499.6044362,EPOVL6F7F76FPH84N5,1,2,0,2,0,0,1,0,0,1,0,41,2,1,0,0,0,0,0,,3,14,2,2,,1,2,,0,2000,,5,,1,7,,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,1,,3,3,3,3,3,3,3,3,1,64,62,2,,,8,2,,,,,,,,,8,2,,,,,,,,4,,4,,5,2,,2,,2,,2,,2,,2,2,0,0,0,1,5,5,5,5,5,0,,,,,2,2,2,2,2,2,2,none,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,1,1
14,pt1k696qv6pu352p,3,0,680.2390733,EPOVL5ZDMLST6R34N9,1,1,0,0,1,0,1,0,1,0,0,70,1,0,0,0,1,0,0,,1,10,3,1,,2,1,,2,1988,,2,860,0,,56000,0,,3,1,0,0,0,0,1,0,0,0,0,0,60,,,,0,0,0,0,,,,,120,,,,0,0,0,0,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,3,3,0,0,0,0,0,0,0,0,0,1,,1,2,3,3,3,1,3,2,2,,,1,78,70,5,2,,,,,,,,,4,2,,,,,,,,4,,1,1,1,2,,2,,2,,2,,2,,2,2,0,1,1,0,5,5,5,5,5,0,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,99,99,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,3,3
21,6w5wjmhqs0tpbhbj,3,0,711.5986862,EPOVL5ZRTQTCM274N8,1,2,0,0,2,0,1,0,1,0,0,78,2,1,0,0,0,0,0,,3,5,4,1,,2,2,,4,1975,,2,,1,4,149000,0,,3,1,1,0,0,0,1,1,0,0,0,0,,,,,1,1,0,0,5,5,,,,,,,1,1,0,0,2,2,,,1,25,4,2,2,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,2,2,,3,2,2,,3,2,,,,2,,,,,,,,2,,,,2,,,,2,,,,,2,,,4,4,4,3,0,0,0,0,0,0,0,0,0,1,,4,4,4,4,4,4,4,4,1,68,61,1,75,65,4,2,,,,,,,,,3,2,,,,,,,,2,1,4,,3,2,,2,,2,,2,,2,,2,2,0,0,1,0,1,1,1,1,1,0,,,,,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,3,3,3
