"","rnid","record","uuid","status","dTrack","qtime","consent","HH1","HH23r1.x","HH23r2","HH23r3.x","HHCr1","HHCr2","HHCr3","HHAr1","HHAr2","HHAr3","HH4","HH5","HH6r1","HH6r2","HH6r3","HH6r4","HH6r5","HH6r6","HH6r6oe","HHR","Q2","hRegionUS","HH7","HH7r3oe","HHO","HH8","HH8r8oe","HH9","HH10","HH10_1","HH11","HH12r1","noanswerHH12_r8","HH12a","HH13r1","noanswerHH13_r8","HH13a","HHI.x","ESC1r1","ESC1r2","ESC1r3","ESC1r4","ESC1r5","ESC1ar1","ESC1ar2.x","ESC1ar3.x","ESC1ar4.x","ESC1ar5","ESC1ar6","ESC1br2c1","ESC1br3c1","ESC1br4c1","ESC1b_1r1c2","ESC1b_1r2c2","ESC1b_1r3c2","ESC1b_1r4c2","ESC1b1r1","ESC1b1r2","ESC1b1r3","ESC1b1r4","ESC1cr2c1","ESC1cr3c1","ESC1cr4c1","ESC1c_1r1c2","ESC1c_1r2c2","ESC1c_1r3c2","ESC1c_1r4c2","ESC1c1r1","ESC1c1r2","ESC1c1r3","ESC1c1r4","ESC2.x","ESC2a","ESC2b","ESC2c","EB2a.x","EB2a1","EB3a","EB3a1","EB2b","EB2b1","EB3b","EB3b1","EB2c","EB2c1","EB3c","EB3c1","EB2d","EB2d1","EB3d","EB3d1","EB2e","EB2e1","EB3e","EB3e1","EB4.x","Q4ar1","Q4ar2","Q4ar3","Q4ar4","Q4ar5","Q4ar6","Q4ar6oe","EB5r1.x","EB5r2","EB5r3","EB5r4","EB6r1.x","EB6r2","EB6r3","EB6r4","EB7a.x","Q7a1","Q7a2","Q7a3","EB7b","Q7b1","Q7b2","Q7b3","EB7c","Q7c1","Q7c2","Q7c3","EB7d","Q7d1","Q7d2","Q7d3","EB8a.x","Q8a1","Q8a2","Q8b1","EB8b","Q8b2","EB8c","Q8c1","Q8c2","EB8d","Q8d1","Q8d2","HEC1r1a.x","HEC1r1b.x","HEC1r1c.x","HEC1r1d.x","HEC2r1.x","HEC2r2.x","HEC2r3.x","HEC2r4.x","HEC2r5.x","HEC2r6.x","HEC2r7.x","HEC2r8.x","HEC2r9.x","HEC2r10.x","HEC2r9oe","HEC3r3a.x","HEC3r3b.x","HEC3r3c.x","HEC3r3d.x","HEC3r3e.x","HEC3r3f.x","HEC3r3g.x","HEC3r3h.x","HEC4a.x","HEC4ai","HEC4aii","HEC4b.x","HEC4bi","HEC4bii","HEC5.x","HEC5a.x","HEC5a1","HEC5a2r1","HEC5a2r2","HEC5a2r3","HEC5a2r4","HEC5a2r5","HEC5a2r6","HEC5a2r7","HEC6.x","HEC6a.x","HEC6b1","HEC6b2r1","HEC6b2r2","HEC6b2r3","HEC6b2r4","HEC6b2r5","HEC6b2r6","EL1","hEL1r1","EL2","hEL2r1","EL3","CEP1.x","Q14a1","CEP2.x","Q14b1","CEP3.x","Q14c1","CEP4.x","Q14d1","CEP5.x","Q14e1","CEP6.x","CEP7.x","CEP8r1.x","CEP8r2.x","CEP8r3.x","CEP8r4.x","EH1a_er1a","EH1a_er2b","EH1a_er3c","EH1a_er4d","EH1a_er5e","EH2","EH2_1r1","EH2_1r2","EH2_1r3","EH2_1r3oe","H1r1","H1r2","H1r3","H1r4","H1r5","H1r6","H1r7","H1r7oe","H2r1","H2r2","H2r3","H2r4","H2r5","H2r6","H2r7","H2r8","H2r9","H2r10","H2r11","H2r12","H2r13","H2r14","H2r15","H2r16","noanswerH2_r17","PSSPSS1","PSSPSS2","PSSPSS3","PSSPSS4","PSSPSS5","PSSPSS6","PSSPSS7","PSSPSS8","PSSPSS9","PSSPSS10","SF1","SF2","SF3","PSQI1","PSQI2a","PSQI2b","FI1","FI2","FI3","FI4","child","eld","wbill.x","sbill.x","HHI.y","HH23r1.y","HH23r3.y","ESC1ar2.y","ESC1ar3.y","ESC1ar4.y","wbill.y","sbill.y","ESC2.y","EB2a.y","EB4.y","EB5r1.y","EB6r1.y","EB7a.y","EB8a.y","HEC1r1a.y","HEC1r1b.y","HEC1r1c.y","HEC1r1d.y","HEC2r1.y","HEC2r2.y","HEC2r3.y","HEC2r4.y","HEC2r5.y","HEC2r6.y","HEC2r7.y","HEC2r8.y","HEC2r9.y","HEC2r10.y","HEC3r3a.y","HEC3r3b.y","HEC3r3c.y","HEC3r3d.y","HEC3r3e.y","HEC3r3f.y","HEC3r3g.y","HEC3r3h.y","HEC4a.y","HEC4b.y","HEC5.y","HEC5a.y","HEC6.y","HEC6a.y","CEP1.y","CEP2.y","CEP3.y","CEP4.y","CEP5.y","CEP6.y","CEP7.y","CEP8r1.y","CEP8r2.y","CEP8r3.y","CEP8r4.y"
"1","EPOVL5YM7BRRCHH4N6",4,"3hnrt2xpmkbta09j",3,0,898.4680927,1,2,0,0,2,0,1,0,1,0,0,81,2,1,0,0,0,0,0,"",3,3,4,1,"",2,2,"",4,1995,NA,3,250,0,NA,149000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,1,1,0,0,5,5,NA,NA,NA,NA,NA,1,1,0,0,5,5,NA,NA,1,75,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,4,1,2,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,74,74,1,79,79,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,"",1,2,2,1,2,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,5,2,5,4,1,1,1,1,1,0,0,0,1,3,3,3,0,1,1,1,3,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2","EPOVL5YML8NVXNJ4N8",5,"htwvbfx426b13195",3,0,889.4830236,1,2,0,0,2,0,1,0,1,0,0,69,2,1,0,0,0,0,0,"",3,22,1,1,"",2,2,"",3,2001,NA,3,450,0,NA,36000,0,NA,2,1,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,3,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,2,NA,1,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"",0,0,0,1,0,0,0,0,1,70,60,1,75,65,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,0,1,1,0,1,NA,0,NA,1,0,NA,0,NA,0,NA,0,NA,1,1,0,0,0,0,0,1,1,1,1,1,2,0,NA,NA,NA,"",1,2,1,2,1,2,NA,"",2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,0,3,2,2,5,4,2,5,4,2,2,4,4,3,2,0,2,1,3,3,3,0,1,0,1,2,0,2,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"3","EPOVL5YYNLZ2LBN4N8",7,"1kh7t51aspj90e6e",3,0,672.0765755,1,2,0,2,0,0,1,0,0,1,0,65,2,1,0,0,0,0,0,"",3,14,2,1,"",2,2,"",4,1993,NA,2,NA,1,1,107000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,20,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,1,1,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1,0,0,0,0,0,0,0,1,68,68,1,68,68,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,"",1,2,2,1,2,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,4,4,1,4,4,2,2,2,2,2,1,0,0,1,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","EPOVL5YYVTDCBPK4N0",8,"kumy86mnke4npv8q",3,0,428.2313855,1,2,0,0,2,0,1,0,1,0,0,43,2,0,0,0,1,0,0,"",3,5,4,1,"",2,4,"",3,2013,NA,4,200,0,NA,120000,0,NA,3,1,0,1,0,0,1,0,1,1,0,0,NA,100,10,0,0,0,0,NA,NA,NA,NA,NA,200,20,0,0,0,0,NA,NA,NA,NA,1,200,2,1,1,2,1,2,NA,NA,NA,NA,1,2,1,2,1,2,1,3,1,2,1,3,0,0,2,0,4,0,0,"",1,NA,3,2,1,NA,2,3,1,3,2,NA,NA,NA,NA,NA,1,3,3,NA,1,3,3,NA,1,3,NA,NA,NA,NA,1,3,NA,1,4,NA,0,1,1,0,0,0,1,0,0,1,0,0,0,0,"",1,0,0,1,0,1,1,0,1,50,40,1,50,60,0,1,3,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,1,NA,1,NA,0,1,2,0,NA,1,2,1,2,1,2,0,1,0,0,1,0,3,2,3,4,4,1,1,0,0,"",2,1,1,1,2,1,NA,"",2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,0,3,4,4,4,4,4,4,3,4,3,3,3,3,1,1,1,2,2,2,2,0,1,1,0,3,0,2,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0
"5","EPOVL5Z3HBFW7FQ4N6",9,"gpfxnve5e3qfcmxq",3,0,1352.516001,1,2,0,2,0,0,1,0,0,1,0,57,1,1,0,0,0,0,0,"",1,50,2,1,"",2,2,"",3,2004,NA,2,2200,0,NA,170000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,45,NA,NA,0,0,0,0,NA,NA,NA,NA,67,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,1,67,64,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,3,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,5,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,3,3,3,0,0,1,1,3,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"6","EPOVL5Z65SZ3M524N1",12,"v216f16ck6abrgva",3,0,1357.515661,1,2,0,0,0,0,1,0,0,0,1,56,2,1,0,0,0,0,0,"",3,10,3,1,"",2,2,"",3,2018,1,4,NA,1,6,135000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,1,118,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,2,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,74,74,1,74,74,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,1,1,1,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,0,2,2,3,5,5,1,4,5,2,2,2,1,1,1,0,0,1,3,3,3,0,0,0,1,3,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7","EPOVL5Z67ZD4BY84N1",11,"v96fbd5g6p8js2dm",3,0,667.9873326,1,2,0,0,1,0,1,0,1,0,1,64,2,1,0,0,0,0,0,"",3,19,3,1,"",2,2,"",4,2012,NA,4,1500,0,NA,160000,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,120,NA,NA,0,0,0,0,NA,NA,NA,NA,40,NA,NA,0,0,0,0,NA,NA,NA,NA,1,40,3,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,4,1,2,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,1,70,65,1,77,78,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,1,1,1,1,1,0,NA,NA,NA,"",2,2,2,2,2,2,2,"None",2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,1,4,2,5,5,1,4,5,3,1,2,1,1,0,0,0,5,3,3,3,0,1,1,0,3,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8","EPOVL5ZDMLST6R34N9",14,"pt1k696qv6pu352p",3,0,680.2390733,1,1,0,0,1,0,1,0,1,0,0,70,1,0,0,0,1,0,0,"",1,10,3,1,"",2,1,"",2,1988,NA,2,860,0,NA,56000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1,1,0,0,0,1,0,1,0,NA,NA,1,78,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,1,0,5,5,5,5,5,0,NA,NA,NA,"",2,2,2,2,2,2,NA,"",2,2,2,2,2,2,2,2,2,2,99,99,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,3,3,0,1,1,1,3,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"9","EPOVL5ZF6KYK2XV4N8",15,"w41gy3643xnxgxkd",3,0,762.8736393,1,1,0,0,1,0,1,0,1,0,0,85,2,1,0,0,0,0,0,"",3,5,4,2,"",1,6,"",1,1996,NA,2,2310,0,NA,67000,0,NA,3,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,0,0,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,"",1,2,2,2,2,2,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,4,1,3,3,1,1,2,1,3,1,0,0,1,3,3,3,0,1,1,1,3,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10","EPOVL5ZG4B5ZB5X4N2",16,"u9pxbe0vexg5rtgh",3,0,754.5491912,1,1,0,0,1,0,1,0,1,0,0,68,2,1,0,0,0,0,0,"",3,5,4,1,"",2,1,"",2,2012,NA,2,1500,0,NA,64500,0,NA,3,1,1,0,0,0,1,1,0,0,0,0,35,NA,NA,0,0,0,0,NA,NA,NA,NA,30,NA,NA,0,0,0,0,NA,NA,NA,NA,1,18,1,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,NA,2,1,2,NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,1,1,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,1,"",0,1,0,0,0,0,0,0,1,70,68,1,78,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,2,2,2,2,1,0,NA,NA,NA,"",1,2,1,2,1,2,NA,"",1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,0,3,3,3,4,3,3,3,3,3,2,4,3,1,2,0,0,1,3,3,3,0,1,0,0,3,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
